id,code,AggIndex,SMILES,color_in_powder,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,application1,application2,application3,application4,pka,comment,tested_solvent
1842,HCyHP,NULL,C[N+]6=C(/C=C/c3ccc(OCc2ccc(B1OC(C)(C)C(C)(C)O1)cc2)c4ccccc34)C(C)(C)c5ccccc56.[I-],purple,671.207,476,599,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,other,ICT,1,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,fluorescent probe,high cell permeability,good biocompatibility,NULL,NULL,NULL,NULL
1844,c6-TPBQ,NULL,Cc1cn2[c-](c3c(C4=c(cccc5)c5=c6ccccc6=C42)cccc3)c(c7ccccc7)c1.FB(F)F.[F-],NULL,421.1779,380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,AIE,other,NULL,NULL,1,NULL,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,DMSO
1845,TPE-Ph-B,NULL,COC1=CC=C(/C(C2=CC=C(OC)C=C2)=C(C3=CC=CC=C3)/C4=CC=C(C5=CC=C(/C=C6C(N(C)C(N(C)C/6=O)=O)=O)C=C5)C=C4)C=C1,orange,634.247,405,673,NULL,625,NULL,NULL,NULL,0.106,NULL,NULL,NULL,5.3,NULL,AIE,TICT,1,1,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,tumor imaging,NULL,NULL,NULL,NULL,NULL,THF
1846,TPEPyE,NULL,C5(/C(=C(C1=CC=CC=C1)/C3=CC=C(C2=CC=[N+](CC)C=C2)C=C3)C4=CC=CC=C4)=CC=CC=C5.[I-],NULL,565.13,360,525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL, selective LPS,clinical monitoring of urinary tract infections,NULL,NULL,NULL,NULL,NULL
1847,1@CB[7],NULL,c%12ccc(C[n+]%11ccc(c%10ccc(/C(=C(c3ccc(c2cc[n+](Cc1ccccc1)cc2)cc3)/c6ccc(c5cc[n+](Cc4ccccc4)cc5)cc6)c9ccc(c8cc[n+](Cc7ccccc7)cc8)cc9)cc%10)cc%11)cc%12.[Br-].[Br-].[Br-].[Br-],yellow,1324.2,365,537,NULL,537,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,1,NULL,1,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,diagnosis of malignant tumour,NULL,NULL,NULL,NULL,great application potential for early diagnosis of cancer,DMSO
1848, HCyNAc ,NULL,CC(=O)Oc4ccc3cc(/C=C/C2=[N+](C)c1ccccc1C2(C)C)ccc3c4.[I-],orange ,497.086,411,525,NULL,NULL,NULL,0.0078,NULL,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,cell imaging,fast response,high selectivity ,high stability and low cytotoxicity,NULL,NULL,water
1849,HCyN,NULL,C[N+]4=C(/C=C/c2ccc1cc(O)ccc1c2)C(C)(C)c3ccccc34.[I-],red,455.075,443,567,NULL,NULL,NULL,0.0477,NULL,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,cell imaging,fast response,high selectivity ,high stability and low cytotoxicity,NULL,NULL,water
1850,TPI-C,NULL,CCCCCCCCn3c(c1ccc(OC(=O)NCC)cc1)nc(c2ccccc2)c3c4ccccc4,white,495.667,300,383,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,sensors and intelligent devices.,NULL,NULL,NULL,NULL,NULL,THF
1851,HCyOH,NULL,C[N+]4=C(/C=C/c1ccc(O)c2ccccc12)C(C)(C)c3ccccc34.[I-],red,455.075,580,599,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,other,ICT,1,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,cancer diagnosis,high cell permeability,good biocompatibility,NULL,NULL,NULL,water
1852,PASPy,NULL,CN(C)c3ccc(/N=C/c2ccc(c1cccnc1)cc2O)cc3,NULL,317,406,501,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,1,1,1,1,1,1,1,1,1,NULL,NULL,NULL,NULL,1,Discrimination of Pd0 and Pd2+,NULL,NULL,NULL,NULL,NULL,DMSO
1853,PASPy-al,NULL,C=CC[n+]3cccc(c2ccc(/C=N/c1ccc(N(C)C)cc1)c(O)c2)c3.[Br-],NULL,358,427,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,1,1,1,1,1,1,1,1,1,NULL,NULL,NULL,NULL,1,Discrimination of Pd0 and Pd2+,NULL,NULL,NULL,NULL,NULL,DMSO
1854, TPECNP,NULL,COc6ccc(/C(=C(c1ccccc1)c4ccc(C(=O)c3cc[n+](Cc2ccc(B(O)O)cc2)cc3)cc4)c5ccc(OC)cc5)cc6.[Br-],NULL,632,450,625,NULL,625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,1,1,1,1,1,1,1,1,0,NULL,NULL,NULL,NULL,1,Photodynamic Therapy,NULL,NULL,NULL,NULL,NULL,THF
1855,TPPTPE,NULL,C%12(/C(=C(C3=CC=C(C2=CC=[N+](CC1=CC=CC=C1)C=C2)C=C3)/C6=CC=C(C5=CC=[N+](CC4=CC=CC=C4)C=C5)C=C6)C9=CC=C(C8=CC=[N+](CC7=CC=CC=C7)C=C8)C=C9)=CC=C(C%11=CC=[N+](CC%10=CC=CC=C%10)C=C%11)C=C%12.[Br-].[Br-].[Br-].[Br-], yellow,1320.16,360,500,NULL,555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,NULL,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL,monitoring apyrase activity,detecting ATP in living cell,cell imaging,NULL,NULL,NULL,DMSO
1856,PDIPQ-C5,NULL,CCCCCCC(CCCCC)n%29c(=O)c%30ccc%31c%33ccc%34c(=O)n(C(CCCC)CCCCC)c(=O)c%35ccc(c%32c(c%28ccc(c%19nc%18cc%17nc(c8ccc(c1cc4c(=O)n(C(CCCCC)CCCCCC)c(=O)c3ccc2c5ccc6c(=O)n(C(CCCCC)CCCCC)c(=O)c7ccc(c1c2c34)c5c67)cc8C)c(c%16ccc(c9cc%12c(=O)n(C(CCCCC)CCCCCC)c(=O)c%11ccc%10c%13ccc%14c(=O)n(C(CCCCC)CCCCC)c(=O)c%15ccc(c9c%10c%11%12)c%13c%14%15)cc%16)nc%17cc%18nc%19c%27ccc(c%20cc%23c(=O)n(C(CCCCC)CCCCCC)c(=O)c%22ccc%21c%24ccc%25c(=O)n(C(CCCCC)CCCCC)c(=O)c%26ccc(c%20c%21c%22%23)c%24c%25%26)cc%27)cc%28)cc(c%29=O)c%30c%31%32)c%33c%34%35,deep-red ,3274.343,544,588,638,NULL,NULL,0.195,0.023,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,1,NULL,1,NULL,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,organic solar cells,NULL,NULL,NULL,NULL,in the design of NFA in OSCs.,DCM
1857,PDIPQ-C6,NULL,CCCCCCCC(CCCCCC)n%29c(=O)c%30ccc%31c%33ccc%34c(=O)n(C(CCCCC)CCCCCC)c(=O)c%35ccc(c%32c(c%28ccc(c%19nc%18cc%17nc(c8ccc(c1cc4c(=O)n(C(CCCCCC)CCCCCCC)c(=O)c3ccc2c5ccc6c(=O)n(C(CCCCCC)CCCCCC)c(=O)c7ccc(c1c2c34)c5c67)cc8C)c(c%16ccc(c9cc%12c(=O)n(C(CCCCCC)CCCCCCC)c(=O)c%11ccc%10c%13ccc%14c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%15ccc(c9c%10c%11%12)c%13c%14%15)cc%16)nc%17cc%18nc%19c%27ccc(c%20cc%23c(=O)n(C(CCCCCC)CCCCCCC)c(=O)c%22ccc%21c%24ccc%25c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%26ccc(c%20c%21c%22%23)c%24c%25%26)cc%27)cc%28)cc(c%29=O)c%30c%31%32)c%33c%34%35,deep-red ,3497.9,544,587,629,NULL,NULL,0.187,0.054,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,1,NULL,1,NULL,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,organic solar cells,NULL,NULL,NULL,NULL,offer some guidance for the selection of side chains in the design of NFA in OSCs.,THF
1858,TPI-C,NULL,CCCCCCCCn3c(c1ccc(OC(=O)NCC[Si](OCC)(OCC)OCC)cc1)nc(c2ccccc2)c3c4ccccc4,NULL,599.888,365,383,NULL,383,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,sensors and intelligent devices.,NULL,NULL,NULL,NULL,NULL,THF
1859,MOTIPS-TPE,NULL,C6(/C(=C(C1=CC=CC=C1)/C4=CC=C(C3=CC=[N+](CC2=CC=C(O[Si](C(C)C)(C(C)C)C(C)C)C=C2)C=C3)C=C4)C5=CC=CC=C5)=CC=C(OC)C=C6.[Br-],orange yellow,781.3,384,536,NULL,504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,cell imaging, fluoride ion detection,NULL,NULL,NULL,NULL,water
1860,TPENNO2,NULL,C5(/C(=C(C1=CC=CC=C1)/C3=CC=C(NS(=O)(=O)C2=CC=C(N(=O)=O)C=C2N(=O)=O)C=C3)C4=CC=CC=C4)=CC=CC=C5,yellow,577.61,319,490,NULL,490,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,detection of Cys,NULL,NULL,NULL,NULL,NULL,water
1861, P1 radical cations,NULL,CC1=CC=C(C)N1C2=CC=CC=C2,white,171,550,630,NULL,NULL,NULL,NULL,0.0854,NULL,NULL,NULL,1.63,NULL,NULL,other,other,0,NULL,1,NULL,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,mitochondrial imaging,NULL,NULL,NULL,NULL,cell imaging,THF
1862,HCyNB,NULL,C5(CC(OC1=CC4=C(C=C1)C=C(/C=C/C3=[N+](C)C2=CC=CC=C2C3(C)C)C=C4)=O)=CC=CC=C5.[I-],red,573.11647,365,593,NULL,593,NULL,0.008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,bioimaging,PGA detection and imaging,NULL,NULL,NULL,NULL,water
1863,P6 radical cations,NULL,CC1=CC(CO)=C(C)N1C2=CC=CC=C2,white,201,550,670,NULL,NULL,NULL,NULL,0.1132,NULL,NULL,NULL,1.87,NULL,NULL,other,other,0,NULL,1,NULL,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,mitochondrial imaging,NULL,NULL,NULL,NULL,cell imaging,THF
1864,GlcNAc-TPE,NULL,COc7ccc(/C(=C(c1ccccc1)c5ccc(c4cc[n+](Cc3ccc(OC2O[C@H](CO)C(O)[C@H](O)C2NC(C)=O)cc3)cc4)cc5)c6ccc(OC)cc6)cc7.[Br-],red,858.252,392,680,NULL,635,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,1,NULL,1,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,1,Detection and visualization of Hex,superior sensitivity,high photostability ,NULL,NULL,NULL,THF
1865,BTCV-CO,NULL,C=CCOc1cc(N(CC)CC)ccc1/C=C(C#N)/c3nc2ccccc2s3,red,389.517,465,635,NULL,635,NULL,NULL,0.065,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,1,NULL,1,NULL,NULL,NULL,1,0,1,NULL,NULL,NULL,NULL,NULL,CO detection and imaging,NULL,NULL,NULL,NULL,NULL,DMSO
1866,TPE-2EP+,NULL,C[N+](C=C1)=CC=C1/C=CC(C=C2)=CC=C2/C(C3=CC=C(/C=CC4=CC=[N+](C)C=C4)C=C3)=C(C5=CC=CC=C5)C6=CC=CC=C6.[I-].[I-],yellow,822.57,389,598,NULL,610,NULL,0.01,NULL,0.063,NULL,NULL,NULL,0.61,NULL,AIE,TICT,1,0,1,1,0,1,0,0,1,44000,NULL,44000,NULL,1,Photodynamic Therapy,mitochondria targeting,photodynamic therapy,NULL,NULL,NULL,water
1867,TPE-3EP+,NULL,C[N+](C=C1)=CC=C1/C=CC(C=C2)=CC=C2/C(C3=CC=C(/C=CC4=CC=[N+](C)C=C4)C=C3)=C(C5=CC=CC=C5)C6=CC=C(/C=CC7=CC=[N](C)C=C7)C=C6.[I-].[I-].[I],orange,1067.64,386,614,NULL,617,NULL,0.012,NULL,0.082,NULL,NULL,NULL,0.72,NULL,AIE,TICT,1,0,1,1,0,1,0,0,1,72000,NULL,72000,NULL,1,Photodynamic Therapy,mitochondria targeting,photodynamic therapy,NULL,NULL,NULL,water
1868,TPE-4EP+,NULL,C[N+](C=C1)=CC=C1/C=CC(C=C2)=CC=C2/C(C3=CC=C(/C=CC4=CC=[N+](C)C=C4)C=C3)=C(C5=CC=C(/C=CC6=CC=[N+](C)[C-]=C6)C=C5)C7=CC=C(/C=CC8=CC=[N](C)C=C8)C=C7.[I-].[I-].[I].[I],orange red,1312.7,392,615,NULL,610,NULL,0.014,NULL,0.113,NULL,NULL,NULL,0.69,NULL,AIE,TICT,1,0,1,1,0,1,0,0,1,130000,NULL,130000,NULL,1,Photodynamic Therapy,mitochondria targeting,photodynamic therapy,mitochondria-to-neucleus fluorescence translocation during cell apoptosis,NULL,self-reporting photosensitzers,water
1869,TPE-Gal,NULL,C7(/C(=C(C1=CC=CC=C1)/C5=CC=C(C4=CC=[N+](CC3=CC=C(OC2C(O)C(O)C(O)C(O)O2)C=C3)C=C4)C=C5)C6=CC=C(OC)C=C6)=CC=C(OC)C=C7.[Br-],NULL,738.86,344,575,NULL,575,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,β-galactosidase activity detection,NULL,NULL,NULL,NULL,NULL,n-hexane
1870,TPEDCPy,NULL,CCN1C2=C(C=CC(/C=C/C3=CC=[N+](C)C=C3)=C2)C4=C1C=CC(N(C5=CC=CC=C5)C(C=C6)=CC=C6/C(C7=CC=CC=C7)=C(C8=CC=CC=C8)/C9=CC=CC=C9)=C4.[I-],dark red,879.73,460,660,NULL,660,NULL,NULL,NULL,0.029,NULL,NULL,NULL,NULL,NULL,AIE,TICT,1,0,1,1,1,1,0,0,0,32000,NULL,NULL,NULL,1,Multi-Modal Synergistic Therapy,mitochondria targeting,photodynamic therapy,NIR emission,NULL,NULL,DMSO
1871,BTIC,NULL,CCN(CC)c4ccc3cc(c2nc1ccccc1s2)c(=N)oc3c4,red,349.452,523,710,NULL,710,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,CO detection and imaging,NULL,NULL,NULL,NULL,NULL,DMSO
1872,TPEDCQu,NULL,CCN1C2=C(C=CC(/C=C/C3=C(C=CC=C4)C4=[N+](C)C=C3)=C2)C5=C1C=CC(N(C6=CC=CC=C6)C(C=C7)=CC=C7/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10)=C5.FP(F)(F)(F)F.[F-],dark purple,929.99,580,730,NULL,730,NULL,NULL,NULL,0.026,NULL,NULL,NULL,NULL,NULL,AIE,TICT,1,0,1,1,1,0,0,0,0,26000,NULL,NULL,NULL,1,Multi-Modal Synergistic Therapy,cellular mitochondria targeting,in vivo/in vitro photodynamic therapy,NIR emission,NULL,NULL,DMSO
1873,TPEDCAc,NULL,CCN1C2=C(C=CC(/C=C/C3=C(C=CC=C4)C4=[N+](C)C=C3)=C2)C5=C1C=CC(N(C6=CC=CC=C6)C(C=C7)=CC=C7/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10)=C5.FC(F)([S-](=O)(=O)=O)F,Dark Green,984.15,660,980,NULL,980,NULL,NULL,NULL,0.004,NULL,NULL,NULL,NULL,NULL,AIE,TICT,1,0,1,1,0,0,0,0,0,18000,NULL,NULL,NULL,1,Multi-Modal Synergistic Therapy,cellular mitochondria targeting,"in vivo/in vitro photodynamic therapy, photothermal therapy","in vivo photothermal imaging, photoacoustic imaging",NULL,NULL,DMSO
1874,TPO-Br ,NULL,c5ccc(c3oc(c1ccccc1)[n+](c2ccccc2)c3c4ccccc4)cc5.[Br-],yellow,453.073,317,444,434,NULL,NULL,1.08,17.85,NULL,NULL,0.4,2.52,NULL,NULL,RTP,other,1,NULL,1,1,1,NULL,NULL,NULL,1,NULL,NULL,0,NULL,1,cell imaging,in vivo phosphorescent imaging,3D printing of white light lampshades,NULL,NULL,NULL,Ethanol
1875,P7 radical cations,NULL,CC1=CC=C(C)N1C2=CC=C(OC)C=C2,white,201,590,NULL,630,NULL,NULL,NULL,7.22,NULL,NULL,NULL,1.87,NULL,NULL,other,other,0,NULL,1,NULL,1,1,1,NULL,0,NULL,NULL,NULL,NULL,0,mitochondrial imaging,NULL,NULL,NULL,NULL,cell imaging,THF
1876,TPO-Cl ,NULL,c5ccc(c3oc(c1ccccc1)[n+](c2ccccc2)c3c4ccccc4)cc5.[Cl-], blue,409.123,317,NULL,435,NULL,NULL,1.2,20.05,NULL,NULL,0.39,1.6,NULL,NULL,RTP,other,1,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,cell imaging,in vivo phosphorescent imaging,3D printing of white light lampshades,NULL,NULL,NULL,Ethanol
1877,P8 radical cations,NULL,CC1=CC=C(C)N1C2=CC=C(C(O)=O)C=C2,white,215,610,NULL,650,NULL,NULL,NULL,9.59,NULL,NULL,NULL,1.63,NULL,NULL,other,other,0,NULL,1,NULL,1,1,1,NULL,1,NULL,NULL,NULL,NULL,0,mitochondrial imaging,NULL,NULL,NULL,NULL,cell imaging,THF
1878,P9 radical cations,NULL,CN1C(C)=CC=C1C,white,109,590,NULL,620,NULL,NULL,NULL,4.86,NULL,NULL,NULL,2.33,NULL,NULL,other,other,0,NULL,1,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,0,mitochondrial imaging,NULL,NULL,NULL,NULL,cell imaging,THF
1879,TPO-F ,NULL,c5ccc(c3oc(c1ccccc1)[n+](c2ccccc2)c3c4ccccc4)cc5.[F-], blue,393.153,317,438,420,NULL,NULL,0.65,11.11,NULL,NULL,0.36,0.8,NULL,NULL,RTP,other,1,NULL,1,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,cell imaging,in vivo phosphorescent imaging,3D printing of white light lampshades,NULL,NULL,NULL,Methanol
1880,TPO-P,NULL,c5ccc(c3oc(c1ccccc1)[n+](c2ccccc2)c3c4ccccc4)cc5.F[P-](F)(F)(F)(F)F, blue,519.119,317,444,422,NULL,NULL,1.18,18.58,NULL,NULL,0.86,1.02,NULL,NULL,RTP,other,1,NULL,1,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,cell imaging,in vivo phosphorescent imaging,3D printing of white light lampshades,NULL,NULL,NULL,Ethanol
1881,TPO-P,NULL,O4C(C1=CC=CC=C1)=[N+](C2=CC=CC=C2)C(C3=CC=CC=C3)=C4C5=CC=CC=C5.[P-](F)(F)(F)(F)(F)F,white,519.43,280,335,NULL,420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,1,1,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL, bioimaging,NULL,NULL,NULL,NULL,NULL,THF
1882,TriPO-PN,NULL,O3C(C1=CC=CC=C1)=[N+](C2=CC=CC=C2)C=C3C4=CC=CC=C4.[P-](F)(F)(F)(F)(F)F,NULL,443,280,400,NULL,375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,1,1,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL, bioimaging,NULL,NULL,NULL,NULL,NULL,THF
1883,2TPAVDPP,NULL,CCCCC(Cn(c(/C=C/c1ccc(N(c2ccccc2)c3ccccc3)cc1)c4c5c(/C=C/c6ccc(N(c7ccccc7)c8ccccc8)cc6)n(CC(CCCC)CC)c4=O)c5=O)CC,black,899,656,700,NULL,686,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,1,NULL,1,NULL,0,NULL,NULL,NULL,NULL,NULL,cell imaging,anticancer,NULL,NULL,NULL,NULL,CHCl3
1884, TPECNPB,NULL,C#C/C(C#C)=C(c4ccc(/C(=C(c1ccc(OC)cc1)/c2ccc(OC)cc2)c3ccccc3)cc4)c6cc[n+](Cc5ccc(B(O)O)cc5)cc6.[Br-],NULL,785,490,665,NULL,625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,1,1,1,1,1,1,1,1,1,NULL,NULL,NULL,NULL,1,bioimaging,NULL,NULL,NULL,NULL,NULL,THF
1885,TPETPyP,NULL,C/1=CC%18=NC1=C(C6=CC=[N+](CC5=CC=C(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4)C=C5)C=C6)/C7=CC=C(N7)/C(C%12=CC=[N+](CC%11=CC=C(/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C%11)C=C%12)=C/%25N=C(/C(C%17=CC=[N+](CC%16=CC=C(/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=C%16)C=C%17)=C/%24N/C(=C%18/C%23=CC=[N+](CC%22=CC=C(/C(C%19=CC=CC=C%19)=C(C%20=CC=CC=C%20)C%21=CC=CC=C%21)C=C%22)C=C%23)C=C%24)C=C%25.[Br-].[Br-].[Br-].[Br-],brown,2320,439,723,NULL,NULL,NULL,0.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,1,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,Protein photoclevage,photodynamic anticancer,photodynamic antimicrobial ,NULL,NULL,NULL,water
1886,4TPA-BQ,NULL,C%14(N(C%12=CC=C(C8=C(C3=CC=C(N(C1=CC=CC=C1)C2=CC=CC=C2)C=C3)C%11=C(C7=C(C6=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C6)C=C(C)C=[N+]78)C=CC(N(C9=CC=CC=C9)C%10=CC=CC=C%10)=C%11)C=C%12)C%13=CC=CC=C%13)=CC=CC=C%14.[P-](F)(F)(F)(F)(F)F,NULL,1236,440,490,NULL,594,NULL,0.3,6.7,15.3,NULL,4.39,5.61,3.1,NULL,AIE,other,1,NULL,1,1,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,antibacterial,anticancer,cell imaging,NULL,NULL,NULL,DMSO
1887,DPBTA-DPTQ,NULL,CC(C=C1)=CC=C1N(C2=CC=C(C)C=C2)C(S3)=CC=C3C4=C(N=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=N7)C7=C(C8=CC=C(N(C9=CC=C(C)C=C9)C%10=CC=C(C)C=C%10)S8)C%11=NSN=C%114,black,895,808,1125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,NULL,NULL,1,NULL,0,NULL,NULL,NULL,NULL,NULL,anticancer,NULL,NULL,NULL,NULL,NULL,THF
1888,IDT-TPE,NULL,CCCCCCC1(CCCCCC)C2=C(SC(C3=C(C(C=C4)=CC=C4/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)C#N)S3)=C2)C%10=CC%11=C(C(SC(C%12=C(C(C=C%13)=CC=C%13/C(C%14=CC=CC=C%14)=C(C%15=CC=CC=C%15)/C%16=CC=CC=C%16)C=C(/C=C%17/C(C(C=CC=C%18)=C%18C%17=O)=C(C#N)C#N)S%12)=C%19)=C%19C%11(CCCCCC)CCCCCC)C=C%101,green,1836.719,690,806,NULL,850,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,NULL,NULL,1,NULL,0,NULL,NULL,NULL,NULL,NULL,cell imaging,anticancer,NULL,NULL,NULL,NULL,THF
1889,BTCV-PN,NULL,CCN(CC)c5ccc(/C=C(C#N)/c2nc1ccccc1s2)c(OP(=O)(c3ccccc3)c4ccccc4)c5, red,549,440,632,NULL,620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,1,1,1,1,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,fluorescent probe,NULL,NULL,NULL,NULL,NULL,DMSO
1890,TTBSCH,NULL,O=S(C(C=C1)=CC=C1C(S2)=CC=C2C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)(NC(NC6CCCCC6)=O)=O,NULL,607,393,520,NULL,550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,cell imaging,NULL,NULL,NULL,NULL,NULL,THF
1891,TTVP,NULL,C[N+](C)(C)CCC[N+]1=CC=C(/C=C/C(S2)=CC=C2C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)C=C1.[Br-].[Br-],red,691,480,700,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,NULL,NULL,NULL,1,NULL,0,NULL,NULL,NULL,NULL,NULL,cell imaging,anticancer,NULL,NULL,NULL,NULL,THF
1892,TCFPB-HNO,NULL,CCN(CC)c5ccc(/C=C/C1=C(C#N)/C(=C(C#N)/C#N)OC1(C)C)c(OC(=O)c2ccccc2P(c3ccccc3)c4ccccc4)c5,NULL,663,556,670,NULL,670,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,1,1,1,1,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,AIE probes for real-time monitoring of the HNO level ,NULL,NULL,NULL,NULL,NULL,DMSO
